area_type,availability,location,size,society,total_sqft,bath,balcony,price
Built-up  Area,Ready To Move,Banashankari Stage III,4 Bedroom,,2000,4,0,128
Built-up  Area,Ready To Move,Kaval Byrasandra,2 BHK,VaasaPr,1100,2,1,74
Built-up  Area,Ready To Move,Vignana Nagar,2 BHK,Mancyhi,1200,2,2,83
Super built-up  Area,18-Apr,Bannerghatta,3 BHK,,1618,3,1,96
Super built-up  Area,18-Oct,Whitefield,4 BHK,Prtates,2830,5,2,188
Super built-up  Area,Ready To Move,Uttarahalli,3 BHK,Omy 2es,1315,2,2,102
Super built-up  Area,Ready To Move,Anandapura,2 BHK,ViensRK,1141,2,1,70.75
Super built-up  Area,Ready To Move,AECS Layout,2 BHK,Srestve,1080,2,2,83
Super built-up  Area,Ready To Move,HBR Layout,2 BHK,Flretes,1200,2,2,88
Super built-up  Area,Ready To Move,Varthur,2 BHK,DSingSt,1111,2,2,69.88
Super built-up  Area,Ready To Move,NGR Layout,2 BHK,,1022,2,1,73.9
Super built-up  Area,Ready To Move,Bannerghatta Road,2 BHK,SNity S,1275,2,2,93
Super built-up  Area,Ready To Move,4th Block Jayanagar,2 BHK,,900,2,1,98
Super built-up  Area,Ready To Move,Rachenahalli,2 BHK,,1224,2,3,67.2
Super built-up  Area,Ready To Move,Battarahalli,2 BHK,Sancy L,1135,2,3,71
Super built-up  Area,Ready To Move,Rachenahalli,2 BHK,,1050,2,2,80.1
Super built-up  Area,Ready To Move,Kudlu Gate,3 BHK,Srier P,1535,3,2,114
Super built-up  Area,17-Nov,Nagavarapalya,2 BHK,PuonsSe,1392,2,1,158
Super built-up  Area,Ready To Move,Bellandur,2 BHK,Kritel ,1050,2,2,100
Super built-up  Area,19-Jun,Hosa Road,3 BHK,Sosisic,1513,3,1,131
Super built-up  Area,Ready To Move,Gottigere,3 BHK,Sooutnu,1621,3,3,100
Super built-up  Area,Ready To Move,Bannerghatta Road,2 BHK,Ceise P,892,2,1,67
Super built-up  Area,Ready To Move,Whitefield,2 BHK,SSthamh,1205,2,1,68
Super built-up  Area,18-Dec,Hebbal,3 BHK,Magiaya,1355,3,2,111.87
Plot  Area,Ready To Move,2nd Block Hrbr Layout,5 Bedroom,,1250,5,,328
Plot  Area,Ready To Move,Kuvempu Nagar,7 Bedroom,,1650,9,,373
Super built-up  Area,Ready To Move,Karnataka Shabarimala,4 BHK,,1200,6,3,98
Super built-up  Area,Ready To Move,Indira Nagar,2 BHK,Suurtni,1400,2,2,196
Super built-up  Area,18-Nov,Kengeri,2 BHK,VBn 2lm,726,2,1,63
Plot  Area,Ready To Move,Singena Agrahara,3 Bedroom,CoiewSy,1500,3,2,177
Super built-up  Area,Ready To Move,Hebbal,4 BHK,,3895,4,2,433
Super built-up  Area,18-Dec,Horamavu Agara,2 BHK,,1079,2,2,69
Super built-up  Area,Ready To Move,Begur Road,2 BHK,Visic C,1170,2,2,74
Super built-up  Area,Ready To Move,Doddathoguru,2 BHK,Saaveas,1104,2,2,67
Super built-up  Area,Ready To Move,Kanakpura Road,2 BHK,Wiowsri,950,2,1,73
Built-up  Area,Ready To Move,Hormavu,4 Bedroom,Prageta,4818,4,3,418
Built-up  Area,Ready To Move,Canara Bank Colony,3 BHK,Kiagar ,1650,2,1,80
Super built-up  Area,21-May,Kogilu,3 BHK,Sourtal,1559,3,2,155
Built-up  Area,Ready To Move,Hanumagiri,2 BHK,Nastadr,1100,2,1,66
Super built-up  Area,Ready To Move,Benson Town,3 BHK,GathiVa,1750,3,3,178
Super built-up  Area,18-Jul,Ramagondanahalli,2 BHK,ViistLa,1215,2,1,73.5
Super built-up  Area,21-Feb,Talaghattapura,3 BHK,Sodgere,1868,3,1,163
Built-up  Area,18-Dec,Electronic City,2 BHK,,1130,2,1,60.63
Super built-up  Area,Ready To Move,Kanakpura Road,3 BHK,JRrnauv,1570,3,3,92.5
Super built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,,1691,3,1,126
Built-up  Area,Ready To Move,Ardendale,5 Bedroom,,4355,3,1,378
Super built-up  Area,17-Oct,Hulimavu,2 BHK,ArowsMe,1225,2,2,83
Super built-up  Area,Ready To Move,JP Nagar,3 BHK,,1690,3,2,140
Super built-up  Area,Ready To Move,Thigalarapalya,2 BHK,,1418,2,2,131
Super built-up  Area,Ready To Move,Kasturi Nagar,4 BHK,Radenta,1896,3,1,153
Super built-up  Area,17-Sep,Sonnenahalli,1 BHK,Skacak ,605,1,1,68
Plot  Area,Ready To Move,Begur Road,5 Bedroom,,800,5,2,123
Super built-up  Area,Ready To Move,Electronic City Phase II,2 BHK,Riodsri,900,2,2,60.5
Plot  Area,Ready To Move,Cholanayakanahalli,1 Bedroom,,750,2,0,78
Plot  Area,Ready To Move,Hoodi,3 Bedroom,,780,3,1,90
Super built-up  Area,Ready To Move,Ananth Nagar,2 BHK,,908,2,1,54
Built-up  Area,18-May,Sarjapur  Road,4 Bedroom,Cetattu,3369 - 3464,6,0,171
Super built-up  Area,Ready To Move,Thanisandra,4 BHK,Soitya ,3216,4,1,254
Plot  Area,Ready To Move,BEML Layout,5 Bedroom,,2400,4,1,253
Built-up  Area,Ready To Move,Iblur Village,2 BHK,,1400,2,2,96
Super built-up  Area,Ready To Move,Kudlu,2 BHK,Srrnasa,1092,2,2,72
Super built-up  Area,Ready To Move,Hulimavu,2 BHK,RatosAr,1255,2,2,102
Built-up  Area,Ready To Move,Electronic City,3 BHK,GMown E,1500,2,1,128
Super built-up  Area,18-Feb,Thanisandra,2 BHK,Bhmesy ,1296,2,2,100
Super built-up  Area,Ready To Move,Horamavu Banaswadi,2 BHK,,925,2,3,66
Built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2 BHK,Mahla T,1023,2,2,70
Built-up  Area,Ready To Move,Seshadripuram,2 BHK,,600,3,2,103
Super built-up  Area,18-May,Thanisandra,2 BHK,SLityee,1020,2,1,72.5
Super built-up  Area,17-Jul,Choodasandra,3 BHK,Sainei ,1530,3,2,105
Super built-up  Area,Ready To Move,Gubbalala,3 BHK,,1650,3,2,99
Built-up  Area,Ready To Move,Vijaya Bank Layout,3 BHK,Dhise P,1605,2,3,113
Super built-up  Area,Ready To Move,Hosakerehalli,2 BHK,,1925,2,1,78
Super built-up  Area,Ready To Move,Kogilu,2 BHK,,1190,2,2,78.66
Super built-up  Area,Ready To Move,Jakkur,3 BHK,,1374,3,2,96
Built-up  Area,Ready To Move,6th Phase JP Nagar,2 BHK,SNpalaj,1140,2,2,93
Super built-up  Area,Ready To Move,Green Glen Layout,3 BHK,Soionar,1725,3,2,158
Super built-up  Area,Ready To Move,Bisuvanahalli,3 BHK,Prityel,1075,2,1,78
Super built-up  Area,Ready To Move,Kannamangala,3 BHK,Sonue A,1574,3,1,121.34
Built-up  Area,Ready To Move,Sanjay nagar,1 BHK,,965,1,1,60
Super built-up  Area,Ready To Move,Marathahalli,3 BHK,Valdsic,1550,3,2,111
Super built-up  Area,Ready To Move,Akshayanagara West,2 BHK,Ajomaa ,1205,2,2,88
Super built-up  Area,Ready To Move,Kambipura,3 BHK,Prrtht ,1082,2,1,83
Super built-up  Area,Ready To Move,Uttarahalli,3 BHK,Ayaya A,1215,2,2,80.85
Super built-up  Area,Ready To Move,Hebbal,4 BHK,Prersis,2483,5,2,258
Plot  Area,18-Jul,Prasanth Extension,2 Bedroom,,1200,3,1,74.14
Super built-up  Area,Ready To Move,Chikkathoguru,1 BHK,,1500,1,1,47.5
Plot  Area,18-May,1st Block Koramangala,4 Bedroom,,2360,4,2,628
Super built-up  Area,Ready To Move,Ardendale,4 BHK,AWharde,3198,4,,278
Super built-up  Area,Ready To Move,Kanakpura Road,3 BHK,JRrnauv,1452,3,3,88.98
Super built-up  Area,18-Apr,Electronic City Phase II,3 BHK,MJtroty,1329,2,2,69
Super built-up  Area,Ready To Move,Doctors Layout,2 BHK,,1125,2,1,72
Plot  Area,Ready To Move,Anand nagar,2 Bedroom,,1200,2,0,98
Built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,,1350,3,3,67.97
Super built-up  Area,Ready To Move,Uttarahalli,3 BHK,Niiewem,1125 - 1500,3,0,79.19
Super built-up  Area,19-Oct,Hebbal,3 BHK,SNontle,2600,3,2,223
Plot  Area,Ready To Move,West of Chord Road,2 Bedroom,,1200,2,1,188
Built-up  Area,18-Dec,Electronic City Phase II,3 BHK,Sryalan,1220,3,1,63.23
Super built-up  Area,Ready To Move,Pai Layout,2 BHK,Kencyes,1255,2,1,108
Super built-up  Area,Ready To Move,Keshava Nagar,3 BHK,ETens G,1904,3,3,183
Super built-up  Area,Ready To Move,Somasundara Palya,2 BHK,,1329,2,2,98
Plot  Area,Ready To Move,Chandapura,2 Bedroom,,1200,2,1,88
Super built-up  Area,Ready To Move,Murugeshpalya,3 BHK,IBaveen,2135,3,2,188
Super built-up  Area,Ready To Move,Ramakrishnappa Layout,3 BHK,,2770,4,3,343
Built-up  Area,19-Dec,"Hoodi Circle, ",1 BHK,,813,1,1,67
Plot  Area,Ready To Move,Junnasandra,4 Bedroom,,3884,4,3,268
Plot  Area,Ready To Move,Doddaballapur,3 Bedroom,,3876,3,1,328
Super built-up  Area,Ready To Move,Kalena Agrahara,2 BHK,PrncyRe,800,2,2,58
Plot  Area,Ready To Move,Handenahalli,4 Bedroom,,4750,2,1,148
Super built-up  Area,Ready To Move,Hormavu,3 BHK,Ocock R,1500,3,3,98
Super built-up  Area,Ready To Move,Bannerghatta Road,3 BHK,SNity S,1880,3,2,123
Super built-up  Area,Ready To Move,Electronic City,3 BHK,Pa II E,1440,2,2,83
Super built-up  Area,Ready To Move,Akshaya Nagar,3 BHK,DLhtsnd,1575,3,,118
Super built-up  Area,Ready To Move,Banagiri Nagar,3 BHK,,1630,2,2,125.78
Super built-up  Area,Ready To Move,Yelahanka,3 BHK,,1180,3,1,83
Built-up  Area,Ready To Move,Nagadevanahalli,2 BHK,,1090,2,1,64
Super built-up  Area,Ready To Move,NGR Layout,2 BHK,,1020,2,2,76.45
Built-up  Area,Ready To Move,"Sarjapur Road, ",4 BHK,,2425,4,3,201
Super built-up  Area,18-Mar,Varthur,2 BHK,Hirio L,1097,2,1,61.82
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2 BHK,Sithand,1070,2,1,78
Super built-up  Area,Ready To Move,Kumaraswami Layout,2 BHK,Mania G,1000,2,1,86
Plot  Area,Ready To Move,Hoodi,8 Bedroom,,1120,8,,178
Super built-up  Area,18-Apr,manyata tech park,2 BHK,,1150,2,1,84
Built-up  Area,Ready To Move,Frazer Town,3 BHK,Clint E,1900,4,2,173
Super built-up  Area,Ready To Move,Divya Unnathi Layout,2 BHK,,1141,2,2,77
Built-up  Area,Ready To Move,Jigani,2 BHK,DLhtsen,937,2,1,72
Built-up  Area,Ready To Move,Green Glen Layout,2 BHK,Blisera,1075,2,1,88
Super built-up  Area,18-Feb,Panathur,2 BHK,,1000,2,1,93.3
Super built-up  Area,Ready To Move,Kasavanhalli,3 BHK,,1450,3,,105.41
Plot  Area,Ready To Move,Yelachenahalli,5 Bedroom,,897,2,1,113
Super built-up  Area,Ready To Move,Ashwathnagar,2 BHK,GMentAp,936,2,2,71
Built-up  Area,Ready To Move,Gopalkrishna Nagar,2 BHK,,1280,2,1,103
Super built-up  Area,Ready To Move,Babusapalaya,2 BHK,,1050,2,3,73
Super built-up  Area,Ready To Move,Marathahalli,2 BHK,Asintas,1350,2,1,114
Super built-up  Area,Ready To Move,Mallasandra,2 BHK,GMilse ,1325,2,1,98
Super built-up  Area,18-Apr,Devanahalli,2 BHK,Oznuean,1174,2,1,87
Super built-up  Area,Ready To Move,Hosur Road,3 BHK,Saageat,1890,3,2,190
Super built-up  Area,Ready To Move,Wilson Garden,1 BHK,,735,1,1,103
Built-up  Area,Ready To Move,Sarvabhouma Nagar,1 BHK,,500,1,0,52
Super built-up  Area,Ready To Move,Gottigere,3 BHK,,1304,3,3,108
Built-up  Area,Ready To Move,Yelahanka,3 BHK,Niareum,1653,3,2,148
Super built-up  Area,Ready To Move,Bisuvanahalli,3 BHK,Prityel,1075,2,1,80
Super built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,Kaiew L,1212,3,1,70
Built-up  Area,Ready To Move,Hoysalanagar,2 BHK,Mamesi ,1100,2,1,78
Super built-up  Area,Ready To Move,Rajaji Nagar,4 BHK,PhestOn,3436,6,3,528
Plot  Area,Ready To Move,SMV layout,3 Bedroom,,1200,4,0,173
Super built-up  Area,Ready To Move,Billekahalli,2 BHK,,1140,2,2,78
Plot  Area,Ready To Move,Roopena Agrahara,2 Bedroom,,1200,2,1,128
Super built-up  Area,Ready To Move,Kudlu Gate,3 BHK,Srier P,1532,3,2,111
Plot  Area,Ready To Move,Doddaballapur,3 Bedroom,Vahid O,2776,4,2,223
Super built-up  Area,Ready To Move,Padmanabhanagar,3 BHK,Naasyak,1531,2,0,103
Super built-up  Area,Ready To Move,Poorna Pragna Layout,3 BHK,,1270,2,2,78.79
Super built-up  Area,18-Dec,Uttarahalli,2 BHK,DSera S,1325,2,1,81
Plot  Area,Ready To Move,CQAL LAYOUT C BLOCK,3 Bedroom,,1200,3,1,188
Super built-up  Area,17-Apr,Electronic City,3 BHK,Sie 2is,1156,2,2,72
Plot  Area,Ready To Move,R.T. Nagar,4 Bedroom,,2000,4,2,348
Super built-up  Area,Ready To Move,Bannerghatta Road,2 BHK,SNity S,1260,2,2,98
Super built-up  Area,Ready To Move,Vittasandra,2 BHK,Prlla C,1934,2,0,118
Super built-up  Area,Ready To Move,Malleshpalya,2 BHK,,1060,2,1,68
Super built-up  Area,Ready To Move,Kasavanhalli,3 BHK,HMonymp,1476,3,1,123
Super built-up  Area,Ready To Move,Murugeshpalya,2 BHK,Rallaa ,1185,2,1,113
Super built-up  Area,Ready To Move,Channasandra Layout,3 BHK,Aconyit,1265,2,1,110
Built-up  Area,18-May,"Near Electronic City, ",4 BHK,,3200,5,1,178
Super built-up  Area,Ready To Move,Virat Nagar,2 BHK,,1196,2,2,84.81
Built-up  Area,Ready To Move,EPIP Zone,2 BHK,,1280,2,1,97
Plot  Area,Ready To Move,Marathahalli,4 Bedroom,,800,4,2,114
Built-up  Area,Ready To Move,Hulimavu,2 BHK,VisicCl,1175,2,,73
Built-up  Area,Ready To Move,Kacharakanahalli,3 BHK,,1850,3,3,126
Plot  Area,Ready To Move,Indira Nagar,4 Bedroom,,2400,4,2,553
Super built-up  Area,Ready To Move,Whitefield,2 BHK,Pae 1ov,1195,2,1,98
Super built-up  Area,Ready To Move,Ulsoor,3 BHK,,2000,3,3,213
Carpet  Area,Ready To Move,Veerannapalya,7 BHK,,600,4,0,128
Plot  Area,18-Feb,Hebbal Kempapura,4 Bedroom,,800,5,3,183
Super built-up  Area,Ready To Move,Hosur Road,2 BHK,Collsrn,1180,2,2,64.5
Super built-up  Area,Ready To Move,Jakkur,2 BHK,Elidet ,1050,2,1,77.87
Built-up  Area,18-Dec,Electronic City,3 BHK,,1400,2,1,68.44
Plot  Area,17-Dec,Bagalakunte,4 Bedroom,,2360,4,2,178
Super built-up  Area,Ready To Move,Banashankari stage 2,2 BHK,,1030,2,1,105.25
Super built-up  Area,Ready To Move,Doddanakundi Industrial Area 2,2 BHK,,1512,1,2,93.01
Built-up  Area,Ready To Move,Subramanyapura,2 BHK,Prldsri,929,2,1,76
Super built-up  Area,Ready To Move,Jigani,3 BHK,DLhtsen,1252,3,3,89
Built-up  Area,Ready To Move,Green Glen Layout,3 BHK,Soionar,1485,3,2,143
Super built-up  Area,Ready To Move,Electronics City Phase 1,3 BHK,Courf T,1124,2,2,83
Plot  Area,Ready To Move,TC Palaya,6 Bedroom,,2400,6,3,398
Built-up  Area,Ready To Move,Indira Nagar,3 BHK,,1407,3,1,148
Super built-up  Area,19-Mar,Hennur Road,3 BHK,Puachal,1482,2,3,125
Super built-up  Area,Ready To Move,Sector 7 HSR Layout,2 BHK,,1163,2,1,126.86
Super built-up  Area,Ready To Move,Jalahalli,3 BHK,BrardCo,1570,3,2,168
Super built-up  Area,18-Feb,Whitefield,3 BHK,BrlisCo,3480,4,,312
Super built-up  Area,19-Sep,Chandapura,1 BHK,SuVue S,520,1,1,42.04
Super built-up  Area,Ready To Move,OLd Gurappanapalya,3 BHK,SoliaMa,2000,3,2,188
Super built-up  Area,Ready To Move,Prithvi Layout,2 BHK,Prlmsge,1352,2,2,103
Super built-up  Area,18-Apr,Electronic City,2 BHK,Prarkun,1152,2,1,93
Built-up  Area,20-Dec,"ECC Road, Whitefield, ",3 BHK,,1575,3,2,121
Super built-up  Area,Ready To Move,Hegde Nagar,3 BHK,SoitaCa,1965,4,2,153
Built-up  Area,Ready To Move,Ramanjaneyanagar,3 BHK,Siite E,1300,2,2,98
Plot  Area,Ready To Move,Sarjapur  Road,4 Bedroom,,1,4,,148
Super built-up  Area,18-Apr,Marathahalli,2 BHK,,957,2,1,75
Super built-up  Area,Ready To Move,Hoskote,3 BHK,Thiced ,1740,3,3,88
Plot  Area,Ready To Move,Kanakpura Road,5 Bedroom,,1080,6,3,93
Super built-up  Area,Ready To Move,Neeladri Nagar,2 BHK,,1060,2,0,63
Carpet  Area,Ready To Move,Chikkadunnasandra,2 BHK,,975,2,2,78
Super built-up  Area,18-May,Ramamurthy Nagar,2 BHK,,1150,2,2,79
Super built-up  Area,Ready To Move,Whitefield,3 BHK,,1738,2,3,107
Super built-up  Area,18-May,Bommanahalli,3 BHK,,1250,3,2,83
Built-up  Area,Ready To Move,Bannerghatta Road,3 BHK,Dhncyud,1788,3,2,118
Super built-up  Area,19-Dec,Kanakapura,2 BHK,GoityEt,1151,2,1,87
Super built-up  Area,Ready To Move,Uttarahalli,3 BHK,Evood S,1300,2,2,88
Super built-up  Area,Ready To Move,Garudachar Palya,2 BHK,,1150,2,1,80.8
Super built-up  Area,Ready To Move,Akshya Nagar,2 BHK,,1380,2,1,103
Super built-up  Area,19-Jun,Hebbal,3 BHK,Raard B,1645,3,2,145
Super built-up  Area,Ready To Move,Babusapalaya,2 BHK,,1141,2,1,73.9
Super built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,BriumMi,1175,2,2,110.5
Super built-up  Area,Ready To Move,Banashankari Stage V,3 BHK,,1355,2,1,89
Built-up  Area,Ready To Move,Dasarahalli,2 BHK,Syonyph,1150,2,0,98
Super built-up  Area,18-May,Indranagar  100ft road defence colony,5 BHK,,5800,5,,108
Built-up  Area,Ready To Move,Canara Bank Colony,2 BHK,,1000,2,2,73
Super built-up  Area,20-Jan,Balagere,2 BHK,Soresea,1007,2,1,93
Super built-up  Area,Ready To Move,Wajid layout thanisandra,4 BHK,,3000,5,2,128
Super built-up  Area,Ready To Move,Kothanur,3 BHK,,1436,3,3,98
Super built-up  Area,Ready To Move,Marathahalli,4 BHK,PueraRi,4000,4,3,248
Built-up  Area,Ready To Move,Somasundara Palya,3 BHK,ManceEl,2372,3,,168
Plot  Area,Ready To Move,R.T. Nagar,6 Bedroom,,1500,6,,268
Super built-up  Area,18-Jan,BTM Layout,3 BHK,,167Sq. Meter,3,2,38
Plot  Area,Ready To Move,Rajaji Nagar,2 Bedroom,,1200,2,0,178
Super built-up  Area,18-Mar,Rayasandra,2 BHK,,1016,2,1,86
Super built-up  Area,Ready To Move,Dodda Nekkundi,2 BHK,,1100,2,2,76
Super built-up  Area,Ready To Move,B Channasandra,2 BHK,PrncyRe,1080,2,1,73
Super built-up  Area,Ready To Move,Electronic City,2 BHK,GMown E,1070,2,1,88
Super built-up  Area,Ready To Move,Kadubeesanahalli,3 BHK,PrpiaSr,1532,3,1,143
Super built-up  Area,Ready To Move,Hennur,2 BHK,MDncyhi,1040,2,2,70.12
Plot  Area,Ready To Move,Laxmi Sagar Layout,3 Bedroom,Pudgear,3100,3,3,278
Super built-up  Area,21-Jun,Tumkur Road,2 BHK,Coowsri,1076 - 1199,2,0,76.905
Super built-up  Area,Ready To Move,Thanisandra,3 BHK,MenueNo,1430,2,2,79.6
Plot  Area,Ready To Move,Rajaji Nagar,2 Bedroom,,1160,1,0,191
Super built-up  Area,Ready To Move,ITPL,4 BHK,,3262,5,2,233
Plot  Area,Ready To Move,Achins Road,7 Bedroom,,2100,7,0,438
Built-up  Area,Ready To Move,Uvce Layout,2 BHK,,1190,2,2,128
Super built-up  Area,Ready To Move,Panduranga Nagar,3 BHK,SApusnu,1827,3,3,128
Super built-up  Area,Ready To Move,HRBR Layout,2 BHK,Srayatr,1210,2,1,103
Super built-up  Area,Ready To Move,New Thippasandra,3 BHK,Srmitev,1500,3,3,123
Super built-up  Area,Ready To Move,Rachenahalli,2 BHK,,1050,2,2,81.5
Super built-up  Area,21-Mar,Hebbal,2 BHK,Oztarol,1251,2,1,116.73
Super built-up  Area,Ready To Move,HSR Layout,3 BHK,RotatHa,1600,2,2,143
Super built-up  Area,18-Apr,Electronic City,2 BHK,Prarkun,1128,2,1,93.5
Super built-up  Area,Ready To Move,Budigere,3 BHK,PrityTr,1820,3,2,121
Super built-up  Area,Ready To Move,Thigalarapalya,3 BHK,Prtanha,2072,4,2,187
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,3 BHK,Dehts H,1510,2,3,87
Super built-up  Area,Ready To Move,Hoodi,3 BHK,SMaxyay,1925,2,3,142
Plot  Area,Ready To Move,Hennur Road,3 Bedroom,LGapeon,2651,2,2,253
Super built-up  Area,Ready To Move,Thigalarapalya,3 BHK,Prtanha,2072,4,2,175
Super built-up  Area,Ready To Move,Kumaraswami Layout,2 BHK,GancyRe,1000,2,2,64
Plot  Area,Ready To Move,KR Puram,3 Bedroom,Salle F,1752,3,2,173
Super built-up  Area,Ready To Move,Sahakara Nagar,2 BHK,ArrdsOr,960,2,3,84
Super built-up  Area,Ready To Move,Gattigere,2 BHK,Vaw 2il,1180,2,2,91
Built-up  Area,Ready To Move,Benson Town,3 BHK,Fants A,2270,3,1,208
Built-up  Area,Ready To Move,NRI Layout,2 Bedroom,,650,2,0,87
Super built-up  Area,Ready To Move,Lakshminarayana Pura,2 BHK,,1200,2,1,103
Super built-up  Area,Ready To Move,Bisuvanahalli,3 BHK,Prityel,1180,2,1,74
Super built-up  Area,18-Jan,Roopena Agrahara,3 BHK,,1300,3,2,75
Built-up  Area,Ready To Move,Bannerghatta Road,2 BHK,,1157,2,0,68
Super built-up  Area,21-Jan,Kanakpura Road,3 BHK,PrarePa,1300,3,2,97
Super built-up  Area,Ready To Move,Banashankari Stage III,3 BHK,Pridsi ,1305,2,1,87
Super built-up  Area,Ready To Move,Hegde Nagar,3 BHK,SoisoCa,2006,4,2,224
Super built-up  Area,Ready To Move,Jakkur,2 BHK,BrdgeNo,1290,2,1,108
Super built-up  Area,Ready To Move,Hoskote,2 BHK,VRrtsa ,1170,2,3,73
Plot  Area,Ready To Move,Cottonpet,4 Bedroom,,971,2,2,163
Super built-up  Area,Ready To Move,Yelachenahalli,2 BHK,Coona A,1400,2,3,106
Super built-up  Area,Ready To Move,Lakshminarayana Pura,2 BHK,RothaVa,1200,2,2,103
Built-up  Area,Ready To Move,Kamakshipalya,3 BHK,Viaxy G,1155,2,0,88
Built-up  Area,Ready To Move,Hormavu,3 BHK,Cadel C,1725,3,2,113
Super built-up  Area,21-Oct,Kanakpura Road,2 BHK,PrarePa,700,2,1,68
Built-up  Area,Ready To Move,Yemlur,4 Bedroom,Epllan ,7000,5,,2078
Super built-up  Area,22-Jun,Hoodi,2 BHK,GoAirej,1112,2,1,116
Super built-up  Area,Ready To Move,Somasundara Palya,2 BHK,ManceEl,1178,2,,106
Super built-up  Area,20-Jan,Badavala Nagar,2 BHK,DNncasa,1274,2,1,109
Super built-up  Area,Ready To Move,Doddathoguru,2 BHK,Vabow R,915,2,1,60
Plot  Area,Ready To Move,6th Phase JP Nagar,8 Bedroom,,1650,6,2,163
Super built-up  Area,Ready To Move,Hosur Road,1 BHK,Collsrn,760,1,2,49.28
Built-up  Area,Ready To Move,Maragondanahalli,3 BHK,ArnzaFi,1540,3,2,96
Super built-up  Area,Ready To Move,P&T Layout,2 BHK,,1206,2,3,66.5
Super built-up  Area,Ready To Move,Basavanna Nagar,3 BHK,Itala A,1645,3,2,123
Plot  Area,Ready To Move,Canara Bank Layout,4 Bedroom,,1200,4,2,198
Plot  Area,Ready To Move,singapura paradise,4 Bedroom,,1200,4,1,168
Super built-up  Area,Ready To Move,Nehru Nagar,4 BHK,Undge T,2342,3,2,143
Super built-up  Area,Ready To Move,Kannur,3 BHK,,1200,2,1,83
Super built-up  Area,Ready To Move,Yelenahalli,2 BHK,MDoseim,1056,2,2,61
Plot  Area,Ready To Move,Raja Rajeshwari Nagar,8 Bedroom,,4800,8,,253
Super built-up  Area,Ready To Move,Kanakpura Road,3 BHK,,1450,3,3,82.3
Super built-up  Area,18-Apr,Thirumenahalli,2 BHK,MNtha A,1161,2,2,64.69
Super built-up  Area,Ready To Move,Dollars Colony,2 BHK,Koowsis,1097,2,3,93
Built-up  Area,Ready To Move,Uttarahalli,2 BHK,Gaent R,850,2,2,63
Super built-up  Area,Ready To Move,Green Glen Layout,3 BHK,Soionar,1715,3,2,143
Super built-up  Area,Ready To Move,Basavangudi,3 BHK,Shntsad,2300,3,,345
Super built-up  Area,Ready To Move,Electronic City,2 BHK,GMown E,1200,2,1,87
Super built-up  Area,18-Oct,8th Phase JP Nagar,2 BHK,,1080,2,2,66
Super built-up  Area,Ready To Move,Kasavanhalli,2 BHK,,1200,2,1,78.3
Plot  Area,Ready To Move,4th Block Koramangala,4 Bedroom,,2400,4,0,578
Super built-up  Area,Ready To Move,Banashankari,3 BHK,Sriseva,1400,2,1,106
Plot  Area,Ready To Move,Whitefield,4 Bedroom,Vastael,1500,4,3,228
Carpet  Area,20-Dec,Kanakpura Road,1 BHK,Roiti A,381 - 535,1,0,47.695
Super built-up  Area,Ready To Move,Marathahalli,2 BHK,,1230,2,1,85
Built-up  Area,Ready To Move,Kalyan nagar,3 BHK,SSonsvi,1640,3,3,116
Super built-up  Area,Ready To Move,Banashankari,3 BHK,Bregae ,1700,3,2,153
Super built-up  Area,Ready To Move,Bommasandra,3 BHK,Niara S,1478,2,,72
Super built-up  Area,Ready To Move,Defence Colony,4 BHK,Masta A,6600,4,,1014
Super built-up  Area,Ready To Move,Banashankari,2 BHK,,1020,2,2,68.79
Plot  Area,Ready To Move,Nagarbhavi,2 Bedroom,,1200,2,1,178
Built-up  Area,Ready To Move,Yelahanka,3 BHK,,1275,2,2,123
Built-up  Area,Ready To Move,Cambridge Layout,4 Bedroom,,1600,3,1,193
Super built-up  Area,Ready To Move,Kanakapura,2 BHK,SPavenc,1110,2,2,66.85
Super built-up  Area,Ready To Move,Uttarahalli,3 BHK,Baveles,1627.86,3,2,116
Built-up  Area,Ready To Move,Byagadadhenahalli,2 BHK,VBavaai,620,2,1,50
Plot  Area,Ready To Move,Whitefield,4 Bedroom,Prrry M,3004,4,2,313
Super built-up  Area,18-May,Hosa Road,2 BHK,Pamesy ,1133,2,1,80
Super built-up  Area,Ready To Move,Hennur Road,2 BHK,Gaodsch,1182,2,2,110.5
Super built-up  Area,Ready To Move,Tumkur Road,3 BHK,SosonGa,1500,3,3,128
Super built-up  Area,Ready To Move,Hebbal Kempapura,4 BHK,GonumPl,3900,5,,388
Super built-up  Area,Ready To Move,Marathahalli,2 BHK,Srconor,1200,2,2,86
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2 BHK,GrrvaGr,1128,2,1,76.79
Super built-up  Area,Ready To Move,Malleshwaram,3 BHK,Sariaat,2215 - 2475,,,321
Built-up  Area,Ready To Move,Jayanagar,2 BHK,,900,2,2,138
Built-up  Area,Ready To Move,Amruthahalli,2 BHK,NCondia,1100,2,1,73
